Country Name,Indicator Name,2016,2017,2018
Latin America & Caribbean,"Population, total"," 629,240,066 "," 635,372,515 "," 641,357,515 "
Least developed countries: UN classification,"Population, total"," 963,511,276 "," 986,365,080 "," 1,009,662,578 "
Low income,"Population, total"," 670,117,389 "," 687,449,530 "," 705,417,321 "
Liechtenstein,"Population, total"," 37,658 "," 37,800 "," 37,910 "
Sri Lanka,"Population, total"," 21,203,000 "," 21,444,000 "," 21,670,000 "
Lower middle income,"Population, total"," 2,939,830,821 "," 2,981,420,591 "," 3,022,905,169 "
Low & middle income,"Population, total"," 6,227,752,871 "," 6,306,560,891 "," 6,383,958,209 "
Lesotho,"Population, total"," 2,075,001 "," 2,091,412 "," 2,108,132 "
Late-demographic dividend,"Population, total"," 2,262,158,994 "," 2,276,319,334 "," 2,288,665,963 "
Lithuania,"Population, total"," 2,868,231 "," 2,828,403 "," 2,789,533 "
Luxembourg,"Population, total"," 582,014 "," 596,336 "," 607,728 "
Latvia,"Population, total"," 1,959,537 "," 1,942,248 "," 1,926,542 "
"Macao SAR, China","Population, total"," 612,836 "," 622,585 "," 631,636 "
St. Martin (French part),"Population, total"," 36,065 "," 36,560 "," 37,264 "
Morocco,"Population, total"," 35,126,296 "," 35,581,294 "," 36,029,138 "
Monaco,"Population, total"," 38,070 "," 38,392 "," 38,682 "
Moldova,"Population, total"," 3,551,954 "," 3,549,196 "," 3,545,883 "
Madagascar,"Population, total"," 24,894,380 "," 25,570,540 "," 26,262,368 "
Maldives,"Population, total"," 475,513 "," 496,402 "," 515,696 "
Middle East & North Africa,"Population, total"," 433,597,626 "," 441,255,234 "," 448,912,859 "
Mexico,"Population, total"," 123,333,376 "," 124,777,324 "," 126,190,788 "
Marshall Islands,"Population, total"," 57,735 "," 58,058 "," 58,413 "
Middle income,"Population, total"," 5,557,635,482 "," 5,619,111,361 "," 5,678,540,888 "
North Macedonia,"Population, total"," 2,080,745 "," 2,081,996 "," 2,082,958 "
Mali,"Population, total"," 17,965,429 "," 18,512,394 "," 19,077,690 "
Malta,"Population, total"," 455,356 "," 467,999 "," 483,530 "
Myanmar,"Population, total"," 53,045,226 "," 53,382,581 "," 53,708,395 "
Middle East & North Africa (excluding high income),"Population, total"," 370,276,461 "," 376,546,755 "," 382,896,715 "
Montenegro,"Population, total"," 622,303 "," 622,373 "," 622,345 "
Mongolia,"Population, total"," 3,056,359 "," 3,113,779 "," 3,170,208 "
Northern Mariana Islands,"Population, total"," 56,188 "," 56,562 "," 56,882 "
Mozambique,"Population, total"," 27,829,942 "," 28,649,007 "," 29,495,962 "
Mauritania,"Population, total"," 4,163,534 "," 4,282,574 "," 4,403,319 "
