Country Name,Indicator Name,2016,2017,2018
Late-demographic dividend,GDP per capita (current US$),8141.932255,8944.752137,9686.991724
Lithuania,GDP per capita (current US$),14982.53305,16809.64826,19089.70751
Luxembourg,GDP per capita (current US$),101305.5277,104498.7387,114340.4987
Latvia,GDP per capita (current US$),14133.68295,15684.55852,18088.92725
"Macao SAR, China",GDP per capita (current US$),73954.95677,81208.88207,86355.40765
Morocco,GDP per capita (current US$),2897.66344,3036.171062,3237.883368
Moldova,GDP per capita (current US$),2272.405707,2724.493093,3189.355812
Madagascar,GDP per capita (current US$),400.0362751,448.4007965,460.7527808
Maldives,GDP per capita (current US$),9282.723553,9801.624542,10223.63649
Middle East & North Africa,GDP per capita (current US$),7264.079568,7422.027903,8056.950437
Mexico,GDP per capita (current US$),8739.142471,9281.101483,9698.084187
Marshall Islands,GDP per capita (current US$),3368.804018,3516.71432,3621.174095
Middle income,GDP per capita (current US$),4817.176095,5229.031764,5483.972023
North Macedonia,GDP per capita (current US$),5129.15896,5417.642019,6083.718948
Mali,GDP per capita (current US$),779.874933,828.6132202,901.4031007
Malta,GDP per capita (current US$),25128.93738,27241.09064,30074.74119
Myanmar,GDP per capita (current US$),1192.495338,1249.828757,1325.952924
Montenegro,GDP per capita (current US$),7028.936577,7784.06529,8760.692286
Mongolia,GDP per capita (current US$),3660.150746,3671.948419,4103.697493
Mozambique,GDP per capita (current US$),391.5528948,441.6178369,490.1675823
Mauritania,GDP per capita (current US$),1135.558646,1161.785457,1218.59641
Mauritius,GDP per capita (current US$),9681.618567,10484.90836,11238.69039
Malawi,GDP per capita (current US$),315.7773264,356.7175732,389.3980332
Malaysia,GDP per capita (current US$),9671.024717,10117.56903,11238.95737
North America,GDP per capita (current US$),56340.17651,58434.03088,60976.80192
Namibia,GDP per capita (current US$),4786.235303,5646.456007,5931.453885
Niger,GDP per capita (current US$),362.1311323,375.8694897,411.6889425
Nigeria,GDP per capita (current US$),2175.99967,1968.559588,2028.18197
Nicaragua,GDP per capita (current US$),2107.574238,2168.19124,2028.896891
Netherlands,GDP per capita (current US$),46007.85292,48554.99228,53024.05921
Norway,GDP per capita (current US$),70941.52527,75704.2487,81807.19804
Nepal,GDP per capita (current US$),777.1475955,900.5739036,1025.798356
Nauru,GDP per capita (current US$),7820.909491,8844.41715,9030.071064
New Zealand,GDP per capita (current US$),40026.8522,42260.12518,41966.00918
OECD members,GDP per capita (current US$),37069.22631,38411.37254,40359.76391
Oman,GDP per capita (current US$),14721.64733,15170.35174,16418.92693
Other small states,GDP per capita (current US$),12404.20144,13422.24394,14682.01353
Pakistan,GDP per capita (current US$),1368.454326,1466.843096,1472.893134
Panama,GDP per capita (current US$),14356.32405,15166.12443,15575.07255
Peru,GDP per capita (current US$),6205.3709,6700.81138,6947.256627
Philippines,GDP per capita (current US$),2941.21204,2981.934151,3102.713363
Palau,GDP per capita (current US$),17150.04231,16274.90454,17317.87262
Papua New Guinea,GDP per capita (current US$),2509.629007,2640.153572,2722.604679
Poland,GDP per capita (current US$),12431.57542,13861.05156,15424.04603
Pre-demographic dividend,GDP per capita (current US$),1403.453447,1458.126344,1427.934483
Puerto Rico,GDP per capita (current US$),30628.75478,31353.43418,31651.34815
Portugal,GDP per capita (current US$),19977.39849,21291.43099,23145.73496
Paraguay,GDP per capita (current US$),5319.410218,5680.580768,5871.467064
West Bank and Gaza,GDP per capita (current US$),3074.291152,3254.485887,3198.866644
Pacific island small states,GDP per capita (current US$),3885.782088,4080.526197,4192.618455
Post-demographic dividend,GDP per capita (current US$),41182.42805,42725.2277,45070.10927
Qatar,GDP per capita (current US$),57163.06099,61264.39648,69026.4688
Romania,GDP per capita (current US$),9567.097782,10792.95628,12301.1864
